Long URL,Short URL,Title
https://www.okapi-online.de/okapi-sekretosan.html,sekretosan,okapi-sekretosan
https://www.okapi-online.de/knaex-altweibersommer.html,knaex-gesund-durchs-jahr-–-september:-altweibersommer,knaex-gesund-durchs-jahr-–-september:-altweibersommer-
https://www.okapi-online.de/okapi-laub-und-rinden.html,laub-&-rinden,okapi-laub-&-rinden-
https://www.okapi-online.de/okapi-bergkern.html,bergkern,okapi-bergkern
https://www.okapi-online.de/biostickies-schwarzkummel.html,biostickies-schwarzkuemmel-standard,biostickies-schwarzkuemmel-standard-
https://www.okapi-online.de/okapi-sekretosan.html,sekretosan,okapi-sekretosan-
https://www.okapi-online.de/biostickies-thymian.html,biostickies-thymian-standard,biostickies-thymian-standard
https://www.okapi-online.de/knaex-algenkalk-pur.html,knaex-algenkalk-pur,knaex-algenkalk-pur-
https://www.okapi-online.de/okapi-gastercare-forte.html,gastercare-forte,okapi-gastercare-forte-
https://www.okapi-online.de/okapi-vermkraeuter.html,vermkraeuter,okapi-vermkraeuter-
https://www.okapi-online.de/knaex-lamm-snacks.html,knaex-lamm-snacks,knaex-lamm-snacks
https://www.okapi-online.de/biostickies-hagebutte.html,biostickies-hagebutte-standard,biostickies-hagebutte-standard-
https://www.okapi-online.de/okapi-fix-%26-fertig-luzerne-futterprobe.html,fix-&-fertig-luzerne-futterprobe,okapi-fix-&-fertig-luzerne-futterprobe
https://www.okapi-online.de/gentle-detox.html,teepferdchen-gentle-detox,teepferdchen-gentle-detox-
https://www.okapi-online.de/okapi-bauchwohlkekse.html,bauchwohlkekse,okapi-bauchwohlkekse-
https://www.okapi-online.de/okapi-fix-%26-fertig-esparsette-futterprobe.html,fix-&-fertig-esparsette-futterprobe,okapi-fix-&-fertig-esparsette-futterprobe
https://www.okapi-online.de/okapi-haferkekse.html,haferkekse,okapi-haferkekse--
https://www.okapi-online.de/okapi-hustenkraeuter.html,hustenkraeuter,okapi-hustenkraeuter-
https://www.okapi-online.de/knaex-starke-abwehr.html,knaex-gesund-durchs-jahr-–-oktober:-starke-abwehr,knaex-gesund-durchs-jahr-–-oktober:-starke-abwehr-
https://www.okapi-online.de/knaex-wilde-raeubersnacks.html,knaex-wilde-raeubersnacks,knaex-wilde-raeubersnacks
https://www.okapi-online.de/knaex-lapacho.html,knaex-lapacho,knaex-lapacho-
https://www.okapi-online.de/biostickies-mariendistel.html,biostickies-mariendistel-standard,biostickies-mariendistel-standard-
https://www.okapi-online.de/okapi-tuttifrutti.html,tuttifrutti,okapi-tuttifrutti-
https://www.okapi-online.de/knaex-knusperhaehnchen-snacks.html,knaex-knusperhaehnchen-snacks,knaex-knusperhaehnchen-snacks
https://www.okapi-online.de/knaex-starke-kerle.html,knaex-starke-kerle,knaex-starke-kerle-
https://www.okapi-online.de/okapi-vierjahreszeitenfutter-fruehlingsgefuehle-futterprobe.html,vierjahreszeitenfutter-fruehlingsgefuehle-futterprobe,okapi-vierjahreszeitenfutter-fruehlingsgefuehle-futterprobe
https://www.okapi-online.de/knaex-flohsamen.html,knaex-flohsamen,knaex-flohsamen-
https://www.okapi-online.de/okapi-mineral-pur-leckschale-7-000g.html,mineral-pur-g-leckschale,okapi-mineral-pur-g-leckschale-
https://www.okapi-online.de/okapi-vierjahreszeitenfutter-fellwechsel-futterprobe.html,vierjahreszeitenfutter-fellwechsel-futterprobe,okapi-vierjahreszeitenfutter-fellwechsel-futterprobe
https://www.okapi-online.de/okapi-adrenacush-forte.html,adrenacush-forte,okapi-adrenacush-forte-
https://www.okapi-online.de/okapi-mineralkonzentrat-p.html,mineralkonzentrat-p,okapi-mineralkonzentrat-p-
https://www.okapi-online.de/okapi-haferkekse.html,haferkekse,okapi-haferkekse-
https://www.okapi-online.de/knaex-mangrovia-omega-3.html,knaex-mangrovia-omega-3,knaex-mangrovia-omega-3-
https://www.okapi-online.de/knaex-rinderknochenmehl-pur.html,knaex-rinderknochenmehl-pur,knaex-rinderknochenmehl-pur-
https://www.okapi-online.de/knaex-heparsafe-advance.html,knaex-heparsafe-advance,knaex-heparsafe-advance-
https://www.okapi-online.de/okapi-praenat-plus-typ-z.html,praenat-plus-typ-z,okapi-praenat-plus-typ-z
https://www.okapi-online.de/knaex-rinderblutmehl-pur.html,knaex-rinderblutmehl-pur,knaex-rinderblutmehl-pur-
https://www.okapi-online.de/knaex-hagebutte-gemahlen.html,knaex-hagebutte-gemahlen,knaex-hagebutte-gemahlen-
https://www.okapi-online.de/okapi-fruehlingsknusper.html,fruehlingsknusper,okapi-fruehlingsknusper--
https://www.okapi-online.de/okapi-wilde-beeren-kekse.html,wilde-beeren-kekse,okapi-wilde-beeren-kekse-
https://www.okapi-online.de/okapi-herbstknusper.html,herbstknusper,okapi-herbstknusper---
https://www.okapi-online.de/okapi-kraeuterweide.html,kraeuterweide,okapi-kraeuterweide-
https://www.okapi-online.de/okapi-vierjahreszeitenfutter-fruehlingsgefuehle.html,vierjahreszeitenfutter-fruehlingsgefuehle,okapi-vierjahreszeitenfutter-fruehlingsgefuehle-
